maintenance_id,machine_code,commissioning_date,max_daily_capacity,max_hourly_capacity_pieces,model,production_line,location,criticality,is_active,maintenance_at,maintenance_type,action_type,component,description,related_incident_id,duration_hours
1,MACH-01,2021-05-12,770,48,InduPress-X2,Ligne-A,Atelier-2,MEDIUM,true,2025-06-15 10:00:00+00,proactive,changement_programme,capteur température,Remplacement programmé capteur température,,2.24
2,MACH-01,2021-05-12,770,48,InduPress-X2,Ligne-A,Atelier-2,MEDIUM,true,2025-08-14 10:00:00+00,proactive,changement_programme,filtre hydraulique,Remplacement programmé filtre hydraulique,,2.76
3,MACH-01,2021-05-12,770,48,InduPress-X2,Ligne-A,Atelier-2,MEDIUM,true,2025-10-13 08:00:00+00,proactive,changement_programme,variateur vitesse,Remplacement programmé variateur vitesse,,1.74
4,MACH-01,2021-05-12,770,48,InduPress-X2,Ligne-A,Atelier-2,MEDIUM,true,2025-12-12 14:00:00+00,proactive,changement_programme,capteur pression,Remplacement programmé capteur pression,,1.88
5,MACH-01,2021-05-12,770,48,InduPress-X2,Ligne-A,Atelier-2,MEDIUM,true,2026-02-10 08:00:00+00,proactive,changement_programme,filtre hydraulique,Remplacement programmé filtre hydraulique,,1.75
6,MACH-01,2021-05-12,770,48,InduPress-X2,Ligne-A,Atelier-2,MEDIUM,true,2026-04-11 10:00:00+00,proactive,changement_programme,capteur pression,Remplacement programmé capteur pression,,1.46
7,MACH-02,2024-09-07,800,50,InduPress-X2,Ligne-A,Atelier-1,LOW,true,2025-06-15 08:00:00+00,proactive,changement_programme,capteur pression,Remplacement programmé capteur pression,,1.78
8,MACH-02,2024-09-07,800,50,InduPress-X2,Ligne-A,Atelier-1,LOW,true,2025-08-14 08:00:00+00,proactive,changement_programme,variateur vitesse,Remplacement programmé variateur vitesse,,3.34
9,MACH-02,2024-09-07,800,50,InduPress-X2,Ligne-A,Atelier-1,LOW,true,2025-10-13 06:00:00+00,proactive,changement_programme,joint hydraulique,Remplacement programmé joint hydraulique,,2.58
10,MACH-02,2024-09-07,800,50,InduPress-X2,Ligne-A,Atelier-1,LOW,true,2025-12-12 08:00:00+00,proactive,changement_programme,roulement axe principal,Remplacement programmé roulement axe principal,,1.05
11,MACH-02,2024-09-07,800,50,InduPress-X2,Ligne-A,Atelier-1,LOW,true,2026-02-10 06:00:00+00,proactive,changement_programme,variateur vitesse,Remplacement programmé variateur vitesse,,3.02
12,MACH-02,2024-09-07,800,50,InduPress-X2,Ligne-A,Atelier-1,LOW,true,2026-04-11 08:00:00+00,proactive,changement_programme,roulement axe principal,Remplacement programmé roulement axe principal,,2.1
13,MACH-03,2019-07-23,1405,88,InduPress-X1,Ligne-B,Atelier-1,HIGH,true,2025-06-15 14:00:00+00,proactive,changement_programme,filtre hydraulique,Remplacement programmé filtre hydraulique,,1.88
14,MACH-03,2019-07-23,1405,88,InduPress-X1,Ligne-B,Atelier-1,HIGH,true,2025-08-14 14:00:00+00,proactive,changement_programme,convoyeur sortie,Remplacement programmé convoyeur sortie,,2.35
15,MACH-03,2019-07-23,1405,88,InduPress-X1,Ligne-B,Atelier-1,HIGH,true,2025-10-13 08:00:00+00,proactive,changement_programme,joint hydraulique,Remplacement programmé joint hydraulique,,1.27
16,MACH-03,2019-07-23,1405,88,InduPress-X1,Ligne-B,Atelier-1,HIGH,true,2025-12-12 10:00:00+00,proactive,changement_programme,convoyeur sortie,Remplacement programmé convoyeur sortie,,1.41
17,MACH-03,2019-07-23,1405,88,InduPress-X1,Ligne-B,Atelier-1,HIGH,true,2026-02-10 14:00:00+00,proactive,changement_programme,courroie moteur,Remplacement programmé courroie moteur,,2.59
18,MACH-03,2019-07-23,1405,88,InduPress-X1,Ligne-B,Atelier-1,HIGH,true,2026-04-11 10:00:00+00,proactive,changement_programme,convoyeur sortie,Remplacement programmé convoyeur sortie,,1.35
